ID,LLM,Ratio_VD_S,Ratio_Nom,Ratio_LW_S,av_nominal_deps_NN,cl_av_deps,nn_all_nominal_deps_NN_struct,volume,abundance,mattr_50,evenness_50,disparity,dispersion_per_100,QWE_Score,BERTScore_F1
lyrics00365,Gemini,1.0,2.2692,1.1667,1.40170940171,2.78947368421,0.00854700854701,371,137,0.716211,0.942779,1.086364,7.54717,0.7264,0.7893
lyrics00366,Gemini,0.9375,1.625,0.5625,1.4375,2.64864864865,0.0,285,133,0.764746,0.961615,1.054545,8.77193,0.6082,0.7813
lyrics00367,Gemini,0.9167,1.9091,0.5,1.79032258065,2.48148148148,0.0161290322581,231,139,0.803516,0.964858,1.017857,7.792208,0.603,0.8125
lyrics00368,Gemini,0.9091,2.0882,0.3636,1.76119402985,2.35714285714,0.0,262,132,0.76723,0.96194,1.019802,9.923664,0.6353,0.7992
lyrics00369,Gemini,1.0,1.6207,0.7,1.67391304348,2.38095238095,0.0,182,105,0.753083,0.962238,1.073171,10.989011,0.575,0.7999
lyrics00370,Gemini,0.9167,2.5938,0.6667,1.41891891892,2.8,0.0,255,125,0.740971,0.940505,1.036082,7.058824,0.614,0.7937
lyrics00371,Gemini,0.8333,1.5946,0.75,1.39726027397,2.51612903226,0.013698630137,248,146,0.783317,0.967465,1.052174,10.887097,0.7045,0.8092
lyrics00372,Gemini,0.8182,1.625,0.4545,1.65306122449,2.5,0.0,192,112,0.796643,0.966113,1.0,6.770833,0.6225,0.794
lyrics00373,Gemini,0.8333,2.2581,0.25,1.60606060606,2.17857142857,0.0454545454545,232,130,0.75388,0.955961,1.0,9.482759,0.8126,0.8309
lyrics00374,Gemini,0.75,1.85,0.625,1.44444444444,2.55555555556,0.0,142,90,0.767312,0.962497,1.057971,7.746479,0.5984,0.8051
lyrics00375,Gemini,0.75,1.9118,0.6667,1.62686567164,2.16666666667,0.0149253731343,233,136,0.77087,0.956824,1.018182,6.866953,0.7223,0.8198
lyrics00376,Gemini,0.8333,1.4118,0.4167,1.46428571429,2.66666666667,0.0178571428571,200,121,0.816424,0.9764,1.065934,11.0,0.6146,0.7842
lyrics00377,Gemini,1.0,2.3043,0.3333,1.50909090909,2.66666666667,0.0363636363636,189,108,0.767429,0.962494,1.0,8.465608,0.7065,0.8294
lyrics00378,Gemini,1.0,2.24,0.7143,1.65,2.71428571429,0.0166666666667,206,122,0.786115,0.967034,1.0,8.252427,0.7087,0.8244
lyrics00379,Gemini,0.8333,3.7692,1.0,1.73684210526,2.66666666667,0.0263157894737,144,89,0.783158,0.960094,1.057971,5.555556,0.7046,0.8184
lyrics00380,Gemini,1.0,1.9118,0.5,1.51515151515,2.44444444444,0.0,220,106,0.744327,0.956275,1.044304,6.818182,0.6491,0.7969
lyrics00381,Gemini,1.0,2.35,0.8333,1.65789473684,3.26666666667,0.342105263158,140,82,0.785495,0.974982,1.037736,11.428571,0.8025,0.8412
lyrics00382,Gemini,1.0,1.6522,0.4444,1.68888888889,2.36842105263,0.0222222222222,150,101,0.815644,0.970232,1.0,7.333333,0.5899,0.8095
lyrics00383,Gemini,0.9444,2.0556,0.4444,1.47,2.39473684211,0.0,361,182,0.776346,0.9542,1.053333,5.817175,0.677,0.7945
lyrics00384,Gemini,0.7,1.725,0.8,1.5625,2.57142857143,0.0,252,138,0.765911,0.951389,1.018018,8.333333,0.8302,0.8405
lyrics00385,Gemini,0.8889,1.6316,0.6667,1.66129032258,2.44,0.0483870967742,222,134,0.774451,0.957438,1.019048,9.459459,0.7521,0.8263
lyrics00386,Gemini,0.75,1.4545,0.75,1.6393442623,2.28125,0.0327868852459,247,137,0.766061,0.963103,1.0,9.311741,0.7348,0.8226
lyrics00387,Gemini,0.5,2.625,0.875,1.71186440678,2.57894736842,0.0169491525424,208,118,0.736855,0.946572,1.037234,5.288462,0.6098,0.8063
lyrics00388,Gemini,0.875,1.7556,0.375,1.63513513514,2.25641025641,0.027027027027,277,144,0.745351,0.954606,1.033333,7.942238,0.7286,0.8166
lyrics00389,Gemini,0.6364,1.9677,0.8182,1.73684210526,2.80952380952,0.0,212,129,0.790184,0.964846,1.019417,7.075472,0.6773,0.8107
lyrics00390,Gemini,1.0,1.9545,0.7778,1.51063829787,2.78947368421,0.0212765957447,178,109,0.777829,0.965436,1.049383,10.674157,0.7371,0.8211
lyrics00391,Gemini,0.9286,2.2195,0.7143,1.77272727273,2.55555555556,0.0113636363636,340,172,0.776426,0.962063,1.085714,7.352941,0.6411,0.8012
lyrics00392,Gemini,0.8824,1.9231,0.5294,1.72631578947,2.38095238095,0.0,352,162,0.807525,0.967618,1.015152,7.386364,0.619,0.7708
lyrics00393,Gemini,0.9167,1.4615,0.6667,1.43939393939,2.6,0.0151515151515,236,132,0.796898,0.971358,1.038462,10.59322,0.6733,0.798
lyrics00394,Gemini,0.8571,1.7037,0.4286,1.75555555556,2.7619047619,0.0,187,112,0.780145,0.966141,1.0,7.486631,0.7245,0.8057
lyrics00395,Gemini,0.6667,2.561,0.7333,1.54945054945,2.42857142857,0.021978021978,329,192,0.7825,0.959797,1.064103,8.206687,0.7661,0.8295
lyrics00396,Gemini,0.9167,1.5652,0.75,1.53333333333,2.52777777778,0.0,274,144,0.810844,0.970876,1.054545,7.29927,0.8325,0.8359
lyrics00397,Gemini,1.0,2.025,0.7692,1.59493670886,2.52941176471,0.0506329113924,281,162,0.800172,0.96629,1.015748,8.185053,0.8103,0.8289
lyrics00398,Gemini,1.0,1.8571,0.8889,1.69090909091,2.91304347826,0.0,210,121,0.771304,0.962737,1.060606,9.047619,0.6022,0.7972
lyrics00399,Gemini,0.9091,1.5263,0.3636,1.40983606557,2.46666666667,0.016393442623,216,126,0.783234,0.970545,1.058252,7.407407,0.69,0.8151
